source_aits_name,sentence,L1
100_Department_of_Veterans_Affairs,"This statement sets out the Department of Veterans’ Affairs (DVA) approach to the safe, responsible and ethical adoption of artificial intelligence (AI) technology in accordance with the Digital Transformation Agency’s (DTA) Policy for the responsible use of AI in government.",Compliance with AI regulations and policies
100_Department_of_Veterans_Affairs,"At DVA, we are dedicated to modernising our technology systems to ensure veterans and their families have timely access to support and services.",General introduction
100_Department_of_Veterans_Affairs,"This includes identifying opportunities to enhance and automate through the application of technology, including safe and responsible use of AI to improve our processes, modernise our digital services, and drive improvements and innovations that ensure we provide a connected and accessible veteran support system.",Intention of AI
100_Department_of_Veterans_Affairs,AI is a fast-changing technology set that has great potential to improve operations and enhance services provided by the department.,General introduction
100_Department_of_Veterans_Affairs,It is a transformative technology that we will engage with carefully and transparently as we explore how we can safely and ethically use it to improve outcomes for the veteran community.,Intention of AI
100_Department_of_Veterans_Affairs,We are committed to transparently working with veterans on how AI could be used to better support their needs.,Impact to the public
100_Department_of_Veterans_Affairs,We are also committed to engaging with our employees.,Impact to the public
100_Department_of_Veterans_Affairs,"DVA is finalising an AI Policy that incorporates the principles, approach to risk management, and approval considerations to help guide our investigation, evaluation and implementation of AI, including our adoption of suitable, robust AI governance.",Compliance with AI regulations and policies
100_Department_of_Veterans_Affairs,"We will continue to be guided by Australian Government policies, frameworks and guidelines around AI as well as industry best-practice.",Compliance with AI regulations and policies
100_Department_of_Veterans_Affairs,"As per the DTA’s Policy for the Responsible use of AI in Government , DVA will ensure: AI use is appropriately governed.",Compliance with AI regulations and policies
100_Department_of_Veterans_Affairs,"engagement with AI is confident, safe and responsible, and promotes accountability and transparency.",Compliance with AI regulations and policies
100_Department_of_Veterans_Affairs,"stakeholders, particularly the veteran community, have trust in our use of AI.",Impact to the public
100_Department_of_Veterans_Affairs,risks are identified and addressed with appropriate mitigation measures.,Monitoring measures
100_Department_of_Veterans_Affairs,AI access and usage is monitored.,Monitoring measures
100_Department_of_Veterans_Affairs,"DVA has stood up an AI Advisory Board, which includes Australian Government representatives, technical experts and a representative from veterans’ welfare and advocacy community organisations.",Monitoring measures
100_Department_of_Veterans_Affairs,The Advisory Board will help us ensure there is proper consultation with the veteran community in consideration and adoption of AI.,Monitoring measures
100_Department_of_Veterans_Affairs,"Additionally, the Advisory Board will provide advice on AI safety and security, and will be consulted on AI initiatives, as well as on the preparation and maintenance of this transparency statement.",Monitoring measures
100_Department_of_Veterans_Affairs,DVA is exploring opportunities where AI can help to achieve positive outcomes for veterans and veteran families.,Intention of AI
100_Department_of_Veterans_Affairs,Ongoing engagement and consultation with the veteran community is essential to ensure improved outcomes and improved services.,Impact to the public
100_Department_of_Veterans_Affairs,"DVA is committed to building trust with the veteran community, and we are dedicated to transparently designing and driving improvement initiatives through consultation with veterans, their families and their advocates.",General introduction
100_Department_of_Veterans_Affairs,"When new proposals on AI are considered, DVA will engage with the veteran community via established communication and consultation mechanisms, such as, but not limited to: DVA website.",Contact
100_Department_of_Veterans_Affairs,Social media.,EMPTY
100_Department_of_Veterans_Affairs,Vetaffairs.,EMPTY
